split,tag,y_p1,y_p3,y_p7,y_p15
train,2008-01-01,18.085714,15.685715,14.828571,13.814285
train,2008-01-07,18.183332,15.371428,14.757143,13.457143
train,2008-01-14,20.100000,18.700001,16.433332,14.285714
train,2008-01-21,20.100000,18.700001,16.600000,14.557143
train,2008-01-28,20.171429,19.633333,18.085714,15.285714
train,2008-02-01,21.142857,20.100000,18.650000,16.214285
train,2008-02-07,28.114286,24.957144,20.100000,17.242857
train,2008-02-14,30.371429,28.114286,21.142857,17.842857
train,2008-02-21,31.442858,30.000000,25.914286,20.171429
train,2008-02-28,35.871429,33.528572,30.000000,24.557142
train,2008-03-01,35.871429,33.528572,30.000000,24.957144
train,2008-03-07,35.871429,33.528572,30.000000,25.314285
train,2008-03-14,35.871429,33.528572,28.685715,25.314285
train,2008-03-21,35.871429,35.114285,31.928572,25.842857
train,2008-03-28,39.271427,35.299999,32.142857,27.314285
train,2008-04-01,39.271427,35.299999,32.142857,27.314285
train,2008-04-07,39.271427,35.299999,32.142857,27.314285
train,2008-04-14,39.271427,35.299999,33.414288,27.314285
train,2008-04-21,39.271427,35.242859,32.142857,26.728571
train,2008-04-28,33.414288,31.750000,30.299999,26.728571
train,2008-05-01,33.414288,32.000000,31.450001,28.528572
train,2008-05-07,38.414288,33.414288,32.150002,29.600000
train,2008-05-14,38.514286,34.057144,32.314285,30.700001
train,2008-05-21,38.514286,34.057144,33.728573,31.600000
train,2008-05-28,38.514286,36.700001,34.057144,32.685715
train,2008-06-01,38.514286,36.700001,34.114285,33.457142
train,2008-06-07,38.514286,35.185715,34.114285,33.457142
train,2008-06-14,36.700001,36.114285,34.214287,33.799999
train,2008-06-21,36.700001,36.114285,34.485714,33.900002
train,2008-06-28,36.314285,36.114285,34.500000,33.900002
train,2008-07-01,36.314285,36.114285,34.500000,33.799999
train,2008-07-07,36.314285,36.114285,34.628571,33.900002
train,2008-07-14,36.200001,35.000000,34.500000,33.900002
train,2008-07-21,36.200001,35.442856,34.528572,33.757141
train,2008-07-28,35.700001,35.414288,34.528572,33.671429
train,2008-08-01,35.900002,35.442856,34.857143,33.900002
train,2008-08-07,35.900002,35.442856,34.857143,33.671429
train,2008-08-14,35.900002,35.442856,34.857143,33.528572
train,2008-08-21,35.900002,35.357143,34.485714,33.414288
train,2008-08-28,35.900002,34.814285,33.700001,32.514286
train,2008-09-01,34.814285,34.485714,33.542858,31.728571
train,2008-09-07,34.928570,34.657143,33.500000,31.285715
train,2008-09-14,34.928570,34.657143,32.185715,29.842857
train,2008-09-21,34.928570,33.514286,31.214285,28.071428
train,2008-09-28,34.928570,32.957142,29.342857,26.928572
train,2008-10-01,34.928570,32.957142,28.112499,26.014286
train,2008-10-07,33.514286,28.112499,26.962500,25.328571
train,2008-10-14,33.514286,27.562500,25.712500,24.487499
train,2008-10-21,26.400000,25.287500,24.725000,23.712500
train,2008-10-28,26.400000,25.042856,24.487499,23.500000
train,2008-11-01,26.400000,25.042856,24.487499,23.500000
train,2008-11-07,26.400000,25.042856,23.912500,22.262501
train,2008-11-14,26.400000,24.242857,22.914286,21.687500
train,2008-11-21,25.042856,23.642857,22.299999,20.985714
train,2008-11-28,23.642857,22.299999,21.571428,18.600000
train,2008-12-01,23.642857,22.299999,21.571428,18.400000
train,2008-12-07,23.642857,21.557142,19.700001,17.200001
train,2008-12-14,22.142857,21.414286,17.685715,16.100000
train,2008-12-21,21.414286,18.487499,17.487499,15.987500
train,2008-12-28,21.587500,19.900000,18.487499,16.862499
train,2009-01-01,23.225000,21.424999,19.137501,17.487499
train,2009-01-07,24.725000,22.725000,19.862499,18.287500
train,2009-01-14,27.512501,23.225000,21.424999,18.812500
train,2009-01-21,27.512501,24.049999,21.712500,19.475000
train,2009-01-28,27.512501,24.049999,21.712500,18.687500
train,2009-02-01,27.512501,24.049999,21.012501,18.137501
train,2009-02-07,30.628571,27.512501,21.875000,18.275000
train,2009-02-14,30.628571,26.600000,21.250000,18.187500
train,2009-02-21,30.628571,26.600000,21.012501,18.587500
train,2009-02-28,30.628571,26.600000,21.424999,19.112499
train,2009-03-01,30.628571,26.600000,21.424999,19.112499
train,2009-03-07,30.628571,26.600000,22.855556,19.674999
train,2009-03-14,29.877777,28.000000,23.799999,20.837500
train,2009-03-21,32.366665,29.411112,25.787500,21.611111
train,2009-03-28,33.762501,30.799999,28.000000,23.799999
train,2009-04-01,33.762501,30.799999,29.411112,24.644444
train,2009-04-07,35.337502,32.366665,30.475000,24.825001
train,2009-04-14,35.337502,32.366665,30.475000,24.825001
train,2009-04-21,38.122223,35.337502,31.122223,25.549999
train,2009-04-28,38.122223,35.337502,31.122223,27.900000
train,2009-05-01,38.122223,35.337502,31.122223,28.111111
train,2009-05-07,38.122223,35.722221,33.022221,29.455555
train,2009-05-14,38.122223,35.722221,33.233334,31.122223
train,2009-05-21,35.877777,34.044445,33.233334,31.933332
train,2009-05-28,35.877777,34.822224,33.955555,32.900002
train,2009-06-01,38.233334,35.700001,34.044445,33.233334
train,2009-06-07,38.233334,35.700001,34.262501,32.900002
train,2009-06-14,38.233334,36.174999,34.822224,33.855556
train,2009-06-21,38.233334,36.174999,34.788887,33.855556
train,2009-06-28,38.233334,36.174999,35.200001,33.950001
train,2009-07-01,37.537498,35.987499,35.237499,34.262501
train,2009-07-07,36.174999,35.937500,35.200001,34.500000
train,2009-07-14,35.987499,35.237499,34.737499,33.950001
train,2009-07-21,35.987499,35.237499,34.737499,33.849998
train,2009-07-28,35.937500,34.712502,34.387501,33.474998
train,2009-08-01,34.712502,34.512501,34.299999,33.237499
train,2009-08-07,34.712502,34.299999,33.375000,32.637501
train,2009-08-14,36.474998,34.387501,33.375000,32.000000
train,2009-08-21,36.474998,34.299999,32.637501,31.087500
train,2009-08-28,36.474998,32.000000,31.112499,30.750000
train,2009-09-01,36.474998,32.000000,31.100000,30.512501
train,2009-09-07,36.474998,32.637501,31.087500,30.237499
train,2009-09-14,33.099998,31.137501,30.687500,29.987499
train,2009-09-21,36.287498,35.362499,33.099998,30.262501
train,2009-09-28,36.287498,35.362499,33.099998,30.125000
train,2009-10-01,36.287498,35.362499,33.099998,30.125000
train,2009-10-07,36.287498,35.362499,31.337500,29.299999
train,2009-10-14,36.287498,35.362499,31.337500,27.600000
train,2009-10-21,31.337500,30.687500,27.799999,24.375000
train,2009-10-28,30.987499,29.225000,25.162500,22.775000
train,2009-11-01,30.987499,26.562500,23.775000,20.562500
train,2009-11-07,30.987499,26.562500,22.775000,20.212500
train,2009-11-14,22.775000,21.766666,20.462500,19.337500
train,2009-11-21,23.188889,22.588888,21.187500,19.337500
train,2009-11-28,25.400000,22.588888,21.200001,19.133333
train,2009-12-01,25.400000,23.100000,21.455555,19.222221
train,2009-12-07,25.400000,23.188889,21.200001,18.188889
train,2009-12-14,25.400000,25.066668,23.877777,20.011110
train,2009-12-21,25.400000,25.066668,24.075001,20.000000
train,2009-12-28,25.250000,24.312500,23.877777,19.533333
train,2010-01-01,25.250000,24.312500,23.877777,19.966667
train,2010-01-07,25.250000,24.162500,23.371429,18.066668
train,2010-01-14,24.111111,23.237499,20.600000,17.833334
train,2010-01-21,30.162500,28.525000,24.062500,18.311111
train,2010-01-28,30.233334,29.799999,25.799999,20.114286
train,2010-02-01,30.233334,29.799999,25.799999,18.122223
train,2010-02-07,31.044445,30.162500,27.287500,21.312500
