split,tag,y_p1,y_p3,y_p7,y_p15
train,2010-03-14,31.441668,28.875000,25.041666,20.533333
train,2010-03-21,31.441668,27.507692,24.900000,21.991667
train,2010-03-28,31.441668,28.875000,25.041666,22.816668
train,2010-04-01,31.441668,28.875000,25.600000,23.549999
train,2010-04-07,30.176924,27.507692,24.484615,23.549999
train,2010-04-14,38.184616,30.176924,26.799999,24.253845
train,2010-04-21,38.184616,29.638462,27.323076,24.284615
train,2010-04-28,38.184616,32.130768,28.553846,25.030769
train,2010-05-01,38.184616,32.130768,28.553846,25.330769
train,2010-05-07,38.184616,32.130768,29.638462,26.799999
train,2010-05-14,32.569229,31.961538,29.146154,27.000000
train,2010-05-21,32.569229,31.961538,29.907692,27.700001
train,2010-05-28,37.750000,32.369232,30.338461,27.700001
train,2010-06-01,37.750000,35.438461,31.646154,28.053846
train,2010-06-07,37.750000,35.438461,30.338461,28.392307
train,2010-06-14,37.750000,35.438461,29.869230,29.299999
train,2010-06-21,37.750000,35.438461,30.223078,29.669231
train,2010-06-28,35.569229,31.538462,30.323076,29.869230
train,2010-07-01,31.546154,30.738462,30.323076,30.023077
train,2010-07-07,33.453846,32.361538,31.546154,30.292307
train,2010-07-14,34.230770,33.453846,32.161537,30.838461
train,2010-07-21,34.530769,33.961540,32.446156,31.538462
train,2010-07-28,34.700001,34.230770,32.907692,31.930769
train,2010-08-01,34.700001,34.230770,32.907692,31.823076
train,2010-08-07,34.700001,33.961540,32.076923,31.623077
train,2010-08-14,34.700001,33.115383,32.038460,31.299999
train,2010-08-21,32.423077,31.930769,31.653847,30.976923
train,2010-08-28,32.253845,31.653847,31.053846,30.830769
train,2010-09-01,32.253845,31.553846,31.053846,30.807692
train,2010-09-07,35.384617,32.253845,31.376923,30.676924
train,2010-09-14,35.384617,32.253845,31.376923,30.046154
train,2010-09-21,38.907692,35.384617,32.192307,30.900000
train,2010-09-28,38.907692,35.384617,32.330769,29.476923
train,2010-10-01,38.907692,36.000000,34.007690,28.707693
train,2010-10-07,38.907692,36.000000,31.723078,27.746155
train,2010-10-14,38.907692,36.000000,31.723078,27.884615
train,2010-10-21,36.000000,32.330769,30.669231,27.538462
train,2010-10-28,36.000000,32.315384,30.584616,27.369230
train,2010-11-01,33.623077,30.823076,29.669231,27.823076
train,2010-11-07,33.623077,30.823076,28.676924,27.653847
train,2010-11-14,33.623077,30.823076,28.592308,27.038462
train,2010-11-21,28.761538,28.353846,27.653847,23.307692
train,2010-11-28,28.761538,28.353846,27.400000,22.038462
train,2010-12-01,28.676924,28.046154,23.315384,21.284615
train,2010-12-07,24.092308,22.799999,22.053846,19.692308
train,2010-12-14,24.092308,22.546154,21.284615,19.007692
train,2010-12-21,24.092308,22.546154,20.138462,18.169231
