split,tag,y_p1,y_p3,y_p7,y_p15
train,2008-02-01,22.000000,20.011110,19.120001,17.750000
train,2008-02-07,26.100000,24.620001,19.870001,18.277779
train,2008-02-14,29.139999,26.100000,20.809999,18.540001
train,2008-02-21,32.772728,27.700001,24.636364,19.827272
train,2008-02-28,36.736362,34.163635,27.700001,21.872726
train,2008-03-01,36.736362,34.163635,27.700001,23.436363
train,2008-03-07,36.736362,34.163635,27.700001,22.990910
train,2008-03-14,36.736362,34.163635,29.745455,22.990910
train,2008-03-21,36.736362,36.518181,30.872726,24.200001
train,2008-03-28,38.563637,36.518181,29.745455,24.636364
train,2008-04-01,38.563637,36.518181,29.745455,24.545454
train,2008-04-07,38.563637,36.518181,29.609091,24.545454
train,2008-04-14,38.563637,36.518181,29.609091,24.609091
train,2008-04-21,38.563637,32.027271,29.609091,24.545454
train,2008-04-28,31.809092,29.618181,26.936363,25.718182
train,2008-05-01,31.809092,29.618181,28.009090,26.500000
train,2008-05-07,36.218182,30.718182,29.372726,26.936363
train,2008-05-14,37.445454,31.290909,29.618181,28.309092
train,2008-05-21,37.445454,31.290909,30.600000,28.427273
train,2008-05-28,37.445454,34.009090,31.081818,29.936363
train,2008-06-01,37.445454,34.009090,31.309092,30.709091
train,2008-06-07,37.445454,32.254547,31.327272,30.727272
train,2008-06-14,34.009090,33.127274,31.600000,31.081818
train,2008-06-21,34.009090,33.127274,31.790909,31.327272
train,2008-06-28,33.190910,32.618183,32.218182,31.445454
train,2008-07-01,33.190910,32.618183,32.218182,31.445454
train,2008-07-07,33.209091,33.127274,32.345455,31.490910
train,2008-07-14,33.209091,32.618183,32.218182,31.490910
train,2008-07-21,33.681820,33.018181,32.345455,31.618181
train,2008-07-28,33.681820,33.018181,32.481819,31.581818
train,2008-08-01,33.681820,33.018181,32.481819,31.845455
train,2008-08-07,33.681820,32.527271,32.318180,31.618181
train,2008-08-14,33.681820,32.527271,32.118183,31.609091
train,2008-08-21,32.700001,32.436363,31.981817,31.390909
train,2008-08-28,33.454544,32.418182,31.927273,31.109091
train,2008-09-01,33.454544,32.372726,31.627274,30.890909
train,2008-09-07,33.454544,32.372726,31.436363,30.799999
train,2008-09-14,33.454544,32.372726,31.218182,29.681818
train,2008-09-21,33.454544,32.345455,30.981817,28.445454
train,2008-09-28,32.345455,31.181818,28.563637,27.336363
train,2008-10-01,32.345455,30.981817,28.445454,27.290909
train,2008-10-07,30.981817,28.445454,27.890909,27.054546
train,2008-10-14,30.981817,28.254545,27.299999,26.509090
train,2008-10-21,28.272728,27.700001,26.927273,25.781818
train,2008-10-28,28.272728,27.700001,26.181818,24.736364
train,2008-11-01,28.272728,27.700001,26.181818,24.736364
train,2008-11-07,28.272728,26.927273,26.009090,24.663637
train,2008-11-14,28.272728,26.763636,25.772728,23.500000
train,2008-11-21,27.018183,26.654545,25.772728,22.954546
train,2008-11-28,27.018183,26.654545,23.518183,22.027273
train,2008-12-01,27.018183,26.654545,23.518183,20.772728
train,2008-12-07,26.527273,23.427273,22.027273,19.427273
train,2008-12-14,25.163637,22.390909,20.372726,18.541666
train,2008-12-21,22.875000,21.983334,19.458334,18.358334
train,2008-12-28,24.433332,22.875000,20.708334,18.958334
train,2009-01-01,24.433332,24.125000,21.983334,19.458334
train,2009-01-07,25.125000,24.433332,22.549999,19.600000
train,2009-01-14,29.808332,24.450001,23.000000,20.441668
train,2009-01-21,29.808332,25.125000,24.125000,20.441668
train,2009-01-28,29.808332,25.125000,23.000000,19.066668
train,2009-02-01,29.808332,25.125000,22.225000,18.441668
train,2009-02-07,32.791668,29.808332,23.424999,18.441668
train,2009-02-14,32.791668,27.625000,22.225000,18.441668
train,2009-02-21,32.791668,27.625000,20.791666,18.891666
train,2009-02-28,32.791668,27.625000,20.900000,19.133333
train,2009-03-01,32.791668,27.625000,20.900000,19.133333
train,2009-03-07,32.791668,26.366667,22.100000,19.708334
train,2009-03-14,28.191668,26.366667,22.516666,20.366667
train,2009-03-21,35.983334,26.924999,24.666666,21.983334
train,2009-03-28,35.983334,28.191668,26.433332,22.516666
train,2009-04-01,35.983334,28.191668,26.433332,22.691668
train,2009-04-07,36.700001,31.133333,26.516666,22.791666
train,2009-04-14,36.700001,31.133333,26.391666,23.025000
train,2009-04-21,36.700001,31.783333,28.825001,24.258333
train,2009-04-28,36.700001,31.783333,28.100000,25.983334
train,2009-05-01,36.700001,31.783333,28.100000,26.700001
