split,tag,y_p1,y_p3,y_p7,y_p15
train,2010-11-14,33.750000,28.918182,27.625000,26.174999
train,2010-11-21,29.116667,28.718182,26.299999,24.658333
train,2010-11-28,29.116667,28.718182,26.299999,22.833334
train,2010-12-01,28.918182,27.816668,25.991667,22.209091
train,2010-12-07,27.816668,25.991667,23.133333,21.209091
train,2010-12-14,27.816668,25.991667,22.833334,20.825001
train,2010-12-21,27.816668,23.133333,21.708334,19.891666
train,2010-12-28,27.816668,21.075001,20.500000,19.025000
train,2011-01-01,23.650000,20.825001,20.500000,19.025000
train,2011-01-07,23.650000,20.825001,20.500000,18.791666
train,2011-01-14,23.650000,20.741667,20.025000,18.350000
train,2011-01-21,25.041666,23.174999,20.708334,18.350000
train,2011-01-28,25.041666,23.450001,20.708334,18.325001
train,2011-02-01,25.041666,23.450001,20.025000,18.375000
train,2011-02-07,26.600000,23.483334,21.883333,19.375000
train,2011-02-14,26.600000,23.483334,22.716667,19.666666
train,2011-02-21,26.600000,24.433332,23.483334,20.608334
train,2011-02-28,26.600000,24.433332,23.483334,19.933332
train,2011-03-01,26.600000,24.433332,23.483334,20.450001
train,2011-03-07,27.966667,24.433332,23.891666,20.450001
train,2011-03-14,27.966667,25.000000,23.945454,21.725000
train,2011-03-21,38.358334,32.875000,25.541666,21.725000
train,2011-03-28,38.358334,32.875000,25.541666,22.691668
train,2011-04-01,38.358334,32.875000,26.441668,23.299999
train,2011-04-07,38.358334,35.474998,27.241667,23.850000
train,2011-04-14,38.358334,35.474998,27.254545,24.183332
train,2011-04-21,35.474998,31.383333,27.241667,24.183332
train,2011-04-28,35.474998,33.916668,28.525000,25.924999
train,2011-05-01,35.474998,33.916668,29.375000,26.725000
train,2011-05-07,34.049999,31.283333,27.808332,26.725000
train,2011-05-14,34.049999,32.008335,29.375000,27.408333
train,2011-05-21,34.049999,32.008335,28.883333,28.125000
train,2011-05-28,32.875000,30.816668,30.241667,28.416666
train,2011-06-01,32.875000,30.808332,29.891666,28.591667
train,2011-06-07,32.875000,30.808332,30.391666,29.291666
train,2011-06-14,32.141666,32.091667,30.808332,29.891666
train,2011-06-21,33.099998,32.133335,31.799999,30.716667
train,2011-06-28,35.500000,33.099998,32.141666,31.541666
train,2011-07-01,35.500000,33.150002,32.599998,31.799999
train,2011-07-07,35.500000,33.150002,32.716667,32.141666
train,2011-07-14,35.500000,33.150002,32.716667,32.133335
train,2011-07-21,35.500000,33.150002,32.599998,32.075001
train,2011-07-28,33.599998,33.150002,32.516666,32.041668
train,2011-08-01,33.599998,32.866665,32.341667,31.958334
train,2011-08-07,33.599998,32.518181,32.075001,31.850000
train,2011-08-14,33.599998,32.518181,32.049999,31.508333
train,2011-08-21,33.599998,32.518181,32.041668,31.541666
train,2011-08-28,32.058334,32.000000,31.566668,31.133333
train,2011-09-01,32.058334,32.000000,31.566668,30.916666
train,2011-09-07,32.000000,31.666666,31.216667,30.227272
train,2011-09-14,35.358334,32.000000,31.133333,30.145454
train,2011-09-21,35.358334,31.483334,30.200001,29.454546
train,2011-09-28,35.358334,31.483334,29.808332,29.058332
train,2011-10-01,35.358334,31.483334,29.533333,28.366667
train,2011-10-07,35.358334,31.483334,29.058332,27.375000
train,2011-10-14,29.808332,29.058332,27.841667,26.016666
train,2011-10-21,29.808332,27.375000,26.116667,24.966667
train,2011-10-28,26.116667,25.441668,25.008333,23.391666
train,2011-11-01,26.016666,25.208334,24.100000,21.418182
train,2011-11-07,26.016666,25.208334,23.741667,20.441668
train,2011-11-14,23.991667,22.500000,20.818182,19.816668
train,2011-11-21,25.950001,22.858334,21.418182,19.833334
train,2011-11-28,25.950001,22.858334,21.299999,19.818182
train,2011-12-01,25.950001,22.858334,21.299999,19.708334
train,2011-12-07,25.950001,22.308332,20.350000,19.475000
train,2011-12-14,25.950001,22.308332,19.708334,18.233334
train,2011-12-21,21.299999,19.683332,18.700001,17.366667
train,2011-12-28,21.333334,18.850000,18.233334,16.783333
train,2012-01-01,21.333334,18.825001,18.191668,16.458334
train,2012-01-07,21.333334,20.191668,18.174999,16.375000
